personName,organisationName,placeName,countrName,organisationName,yearFounded
Emil Persson,University of Gothenburg,,,Linköping University,1954-07-01T00:00:00Z
Marek Meristo,University of Gothenburg,,,Kyoto University,1954-07-01T00:00:00Z
Jeanette A Johansson,University of Gothenburg,,,Institute of Genetics and Molecular Medicine,1954-07-01T00:00:00Z
Jonas Zetterholm,Luleå University of Technology,,,Q18923316,1971-07-01T00:00:00Z
Kajsa Ellegård,University of Gothenburg,,,Linköping University,1954-07-01T00:00:00Z
Filip Bergquist,University of Gothenburg,,,,1954-07-01T00:00:00Z
Björn D. Lindahl,University of Gothenburg,,Sweden,Swedish University of Agricultural Sciences,1954-07-01T00:00:00Z
Tina B Angerer,University of Gothenburg,,,University of Washington,1954-07-01T00:00:00Z
Marek Meristo,University of Gothenburg,,,University of Trento,1954-07-01T00:00:00Z
Jonas Zetterholm,Luleå University of Technology,,,Luleå University of Technology,1971-07-01T00:00:00Z
Hao Wang,University of Gothenburg,,,Chinese Center for Disease Control and Prevention,1954-07-01T00:00:00Z
Doris Lydahl,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Dick Durevall,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Martin Jönsson-Niedziółka,University of Gothenburg,,Poland,Lille institute for electronics micro-electronics and nanotechnologies,1954-07-01T00:00:00Z
Marek Meristo,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
"Martin Jönsson-Niedziółka,University of Gothenburg,,Poland,""Institute of Physical Chemistry, Polish Academy of Sciences"",1954-07-01T00:00:00Z"
Malcolm von Schantz,University of Gothenburg,,,University of Surrey,1954-07-01T00:00:00Z
Steinunn Kristjánsdóttir,University of Gothenburg,,Sweden,University of Iceland,1954-07-01T00:00:00Z
Tina B Angerer,University of Gothenburg,,,Luxembourg Institute of Science and Technology,1954-07-01T00:00:00Z
Linnea Bärebring,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Jakob Näslund,University of Gothenburg,,,Sahlgrenska University Hospital,1954-07-01T00:00:00Z
Dariia Atamanchuk,University of Gothenburg,,,Dalhousie University,1954-07-01T00:00:00Z
Josef Hallberg,Luleå University of Technology,,,Luleå University of Technology,1971-07-01T00:00:00Z
Hans Rosling,Uppsala University,Uppsala Cathedral Assembly,Sweden,Uppsala University,1477-01-01T00:00:00Z
Henrik Zetterberg,University of Gothenburg,,Sweden,University of Gothenburg,1954-07-01T00:00:00Z
Sofie Jakobsson,University of Gothenburg,,,,1954-07-01T00:00:00Z
Siv Andersson,Uppsala University,,Sweden,Uppsala University,1477-01-01T00:00:00Z
Nils Rudqvist,University of Gothenburg,,,University of Texas MD Anderson Cancer Center,1954-07-01T00:00:00Z
Per Hedenström,University of Gothenburg,,,Sahlgrenska University Hospital,1954-07-01T00:00:00Z
Jennifer E Richard,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Anna Grimby-Ekman,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Lovisa Nilsson,Lund University,,,Lund University,1666-12-19T00:00:00Z
Ole Hultmann,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Ingela Dahllöf,University of Gothenburg,,,,1954-07-01T00:00:00Z
Eva U Emanuelsson,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Sviatlana Shashkova,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
B-G Andersson,University of Gothenburg,,,Universities Space Research Association,1954-07-01T00:00:00Z
Andreas Redfors,Lund University,,,Kristianstad University College,1666-12-19T00:00:00Z
Ali Hosseinnia,Lund University,,,Lund University,1666-12-19T00:00:00Z
Rebecca M Willén,University of Gothenburg,,,Institute for Globally Distributed Open Research and Education,1954-07-01T00:00:00Z
Camille Bélanger-Champagne,Uppsala University,,Canada,University of Helsinki,1477-01-01T00:00:00Z
Camille Bélanger-Champagne,Uppsala University,,Canada,McGill University,1477-01-01T00:00:00Z
Leonor Gouveia,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Maria Strømme,Uppsala University,Svolvær,Sweden,Uppsala University,1477-01-01T00:00:00Z
Johan Bjureberg,Uppsala University,,,Stanford University,1477-01-01T00:00:00Z
Karzan Palani,Lund University,,,Lund University,1666-12-19T00:00:00Z
Linnéa Smeds,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Per Binde,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Stine Störsrud,University of Gothenburg,,,Sahlgrenska University Hospital,1954-07-01T00:00:00Z
Nils Lenngren,Uppsala University,,,Institute of Physics of the Czech Academy of Sciences,1477-01-01T00:00:00Z
Eva Johansson,Uppsala University,,,Novo Nordisk,1477-01-01T00:00:00Z
Marisa Ponti,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Fanny-Linn O H Kraft,University of Gothenburg,,,,1954-07-01T00:00:00Z
Eva Brink,University of Gothenburg,,,University West,1954-07-01T00:00:00Z
Åsa Wengelin,University of Gothenburg,,,,1954-07-01T00:00:00Z
Per Kraulis,Uppsala University,,,Stockholm University,1477-01-01T00:00:00Z
Einar Löfstedt den yngre,Uppsala University,Uppsala,Sweden,Lund University,1477-01-01T00:00:00Z
Urban Berg,University of Gothenburg,,,,1954-07-01T00:00:00Z
Mårten Ahlquist,Lund University,,,Royal Institute of Technology,1666-12-19T00:00:00Z
Andreas Bjorefeldt,University of Gothenburg,,,,1954-07-01T00:00:00Z
Teng Zhang,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Jianfeng Zhou,Lund University,,Sweden,Lund University,1666-12-19T00:00:00Z
Gunilla Wünsche,Uppsala University,Stockholm,Sweden,Q2333729,1477-01-01T00:00:00Z
Sigrid Schottenius Cullhed,University of Gothenburg,,Sweden,Uppsala University,1954-07-01T00:00:00Z
Göran Larsson,University of Gothenburg,,Sweden,University of Gothenburg,1954-07-01T00:00:00Z
Ole Hultmann,University of Gothenburg,,,Queen Silvia Children's Hospital,1954-07-01T00:00:00Z
"Hakon Leffler,University of Gothenburg,,Sweden,""University of California, San Diego"",1954-07-01T00:00:00Z"
Emma Danelius,University of Gothenburg,,,Uppsala University,1954-07-01T00:00:00Z
Mats Gustafsson,University of Gothenburg,,,Swedish National Road and Transport Research Institute,1954-07-01T00:00:00Z
Michael D. B. Swedberg,Uppsala University,,,Addiction Research Center,1477-01-01T00:00:00Z
Adam N Nilsson,Lund University,,,Lund University,1666-12-19T00:00:00Z
Joachim Sturve,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Aifang Chen,University of Gothenburg,,,,1954-07-01T00:00:00Z
Björn Svenson,Lund University,,,Örebro County Council,1666-12-19T00:00:00Z
Hakon Leffler,University of Gothenburg,,Sweden,Lund University,1954-07-01T00:00:00Z
Ivar Rooth,Uppsala University,Hedvig Eleonora församling,Sweden,,1477-01-01T00:00:00Z
Johan August Arfwedson,Uppsala University,Finnerödja,Sweden,,1477-01-01T00:00:00Z
Martin Larsson,University of Gothenburg,,,Södersjukhuset,1954-07-01T00:00:00Z
Cecilia Grönberg,University of Gothenburg,,,,1954-07-01T00:00:00Z
Jenny Lindén,University of Gothenburg,,,Johannes Gutenberg University Mainz,1954-07-01T00:00:00Z
Gerhard Fischer,University of Gothenburg,,,University of Cambridge,1954-07-01T00:00:00Z
Maria Strømme,Uppsala University,Svolvær,Norway,Uppsala University,1477-01-01T00:00:00Z
Mikael Råsander,Uppsala University,,Sweden,Imperial College London,1477-01-01T00:00:00Z
Alexandr Nasedkin,Uppsala University,,,Chalmers University of Technology,1477-01-01T00:00:00Z
Arndís F Ólafsdóttir,University of Gothenburg,,,,1954-07-01T00:00:00Z
Hannu Koskinen,Uppsala University,Keuruu,Finland,University of Helsinki,1477-01-01T00:00:00Z
Gunilla Wünsche,Uppsala University,Stockholm,Sweden,Swedish University of Agricultural Sciences,1477-01-01T00:00:00Z
Derrick C. Mancini,Uppsala University,,,Argonne National Laboratory,1477-01-01T00:00:00Z
Johann Lüder,Uppsala University,,,National Sun Yat-sen University,1477-01-01T00:00:00Z
Einar Löfstedt den yngre,Uppsala University,Uppsala,Sweden,Uppsala University,1477-01-01T00:00:00Z
Mikael Råsander,Uppsala University,,Sweden,Luleå University of Technology,1477-01-01T00:00:00Z
Daniel Arvidsson,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Melissa Chierici,University of Gothenburg,,,University Centre in Svalbard,1954-07-01T00:00:00Z
Derrick C. Mancini,Uppsala University,,,Illinois Institute of Technology,1477-01-01T00:00:00Z
Björn Svenson,Lund University,,,Skaraborgs sjukhus Skövde,1666-12-19T00:00:00Z
Johann Lüder,Uppsala University,,,National University of Singapore,1477-01-01T00:00:00Z
Hanna E Reinebrant,University of Gothenburg,,,Mater Research,1954-07-01T00:00:00Z
Henrik Renlund,Uppsala University,,,,1477-01-01T00:00:00Z
Lars-Owe D Koskinen,Uppsala University,,,Region Västerbotten,1477-01-01T00:00:00Z
Thomas Andersson,University of Gothenburg,,,University of Skövde,1954-07-01T00:00:00Z
Melissa Chierici,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Katrine Marçal,Uppsala University,Lund,Sweden,,1477-01-01T00:00:00Z
Gunilla Wünsche,Uppsala University,Stockholm,Sweden,Agricultural University College,1477-01-01T00:00:00Z
Johan Mölne,University of Gothenburg,,,University of Cambridge,1954-07-01T00:00:00Z
Anastasia Zhuravleva,University of Gothenburg,,,Purdue University,1954-07-01T00:00:00Z
Rasmus Lindgren,University of Gothenburg,,Sweden,,1954-07-01T00:00:00Z
Hanne Evenbratt,University of Gothenburg,,,,1954-07-01T00:00:00Z
Jan Gezelius,Uppsala University,Stockholm,Sweden,,1477-01-01T00:00:00Z
B-G Andersson,University of Gothenburg,,,Johns Hopkins University,1954-07-01T00:00:00Z
Gunilla Wünsche,Uppsala University,Stockholm,Sweden,Swedish Defence Staff,1477-01-01T00:00:00Z
Gunilla Wünsche,Uppsala University,Stockholm,Sweden,Uppsala University,1477-01-01T00:00:00Z
Britt-Marie Ljungström,University of Gothenburg,,,,1954-07-01T00:00:00Z
Oana Bîzgan,University of Gothenburg,Calafat,Romania,,1954-07-01T00:00:00Z
Gong Cheng,Uppsala University,,,,1477-01-01T00:00:00Z
Göran Carlström,Lund University,,,Lund University,1666-12-19T00:00:00Z
Melissa Chierici,University of Gothenburg,,,Norwegian Institute of Marine Research,1954-07-01T00:00:00Z
Fredrik Lehmann,University of Gothenburg,,,Oncopeptides (Sweden),1954-07-01T00:00:00Z
Göran Carlström,Lund University,,,Scripps Research,1666-12-19T00:00:00Z
Raviteja Inturi,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Caroline B Adiels,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Buster Mannheimer,University of Gothenburg,,,Södersjukhuset,1954-07-01T00:00:00Z
Melissa Chierici,University of Gothenburg,,,Institute of Ocean Sciences,1954-07-01T00:00:00Z
Melissa Chierici,University of Gothenburg,,,National Institute for Environmental Studies,1954-07-01T00:00:00Z
Marie W. Lindholm,Uppsala University,,,Lund University,1477-01-01T00:00:00Z
Krister Halldin,Uppsala University,,,,1477-01-01T00:00:00Z
Lars-Owe D Koskinen,Uppsala University,,,Uppsala University Faculty of Medicine,1477-01-01T00:00:00Z
"Marie W. Lindholm,Uppsala University,,,""University of California, Berkeley"",1477-01-01T00:00:00Z"
Kristin Piikki,University of Gothenburg,,,Swedish University of Agricultural Sciences,1954-07-01T00:00:00Z
Anna Berglund,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Ebru Aydin,Uppsala University,,,University of Gothenburg,1477-01-01T00:00:00Z
Mattias Göthlin,University of Gothenburg,,,,1954-07-01T00:00:00Z
Kerstin Eksell,University of Gothenburg,Mariestads,Sweden,University of Copenhagen,1954-07-01T00:00:00Z
Won-Young Kim,Uppsala University,,,Lamont–Doherty Earth Observatory,1477-01-01T00:00:00Z
Katarina Ejeskär,University of Gothenburg,,,University of Skövde,1954-07-01T00:00:00Z
Bengt Rösiö,Uppsala University,Åmål,Sweden,,1477-01-01T00:00:00Z
Sviatlana Shashkova,University of Gothenburg,,,Jagiellonian University,1954-07-01T00:00:00Z
Sviatlana Shashkova,University of Gothenburg,,,University of York,1954-07-01T00:00:00Z
Ulf Jondelius,University of Gothenburg,,,Swedish Museum of Natural History,1954-07-01T00:00:00Z
Anastasia Zhuravleva,University of Gothenburg,,,University of Leeds,1954-07-01T00:00:00Z
Alica Ondrejková,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Anastasia Zhuravleva,University of Gothenburg,,,University of Massachusetts Amherst,1954-07-01T00:00:00Z
Maria Falkenberg,University of Gothenburg,,Sweden,University of Gothenburg,1954-07-01T00:00:00Z
Dan Eliasson,Uppsala University,Skön,Sweden,,1477-01-01T00:00:00Z
Eva U Emanuelsson,University of Gothenburg,,,Aarhus University,1954-07-01T00:00:00Z
Kerstin Eksell,University of Gothenburg,Mariestads,Sweden,Stockholm University,1954-07-01T00:00:00Z
Laszlo B. Kish,Uppsala University,Hungary,Hungary,Texas A&M University,1477-01-01T00:00:00Z
Björn M Hansen,Lund University,,,Skåne University Hospital,1666-12-19T00:00:00Z
Alexander Stadler,Uppsala University,,,Anton Paar,1477-01-01T00:00:00Z
Christian Brueffer,Lund University,,,Lund University,1666-12-19T00:00:00Z
Michael Tjernström,Uppsala University,,Sweden,Uppsala University,1477-01-01T00:00:00Z
Elisabeth Rachlew,Uppsala University,,,Royal Institute of Technology,1477-01-01T00:00:00Z
Patrick Frings,Lund University,,,Lund University,1666-12-19T00:00:00Z
Jan-Ingvar Jönsson,Lund University,,,Swedish Research Council,1666-12-19T00:00:00Z
Anton Dahlberg,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Patrick Frings,Lund University,,,University of Applied Sciences in Brandenburg,1666-12-19T00:00:00Z
Pontus Roldin,Lund University,,,University of Helsinki,1666-12-19T00:00:00Z
Patrick Frings,Lund University,,,Swedish Museum of Natural History,1666-12-19T00:00:00Z
Sven Kjellström,Lund University,,,,1666-12-19T00:00:00Z
Anna Runemark,Lund University,,,University of Oslo,1666-12-19T00:00:00Z
Rasigan Maharajh,Lund University,,,National Research Foundation,1666-12-19T00:00:00Z
Markus Heilig,Lund University,,Sweden,Karolinska Institute,1666-12-19T00:00:00Z
Elisabeth Kugelberg,Lund University,,,University of Copenhagen,1666-12-19T00:00:00Z
Margareta Halin Lejonklou,Uppsala University,,,Swedish Chemicals Agency,1477-01-01T00:00:00Z
Philip J Harrison,Uppsala University,,,University of St Andrews,1477-01-01T00:00:00Z
Junwei Zhu,Lund University,,,Agricultural Research Service,1666-12-19T00:00:00Z
Rolf Lidskog,Uppsala University,,,University of Gothenburg,1477-01-01T00:00:00Z
Malin Falkenmark,Uppsala University,Stockholm,Sweden,Swedish Meteorological and Hydrological Institute,1477-01-01T00:00:00Z
Jan Lipfert,Uppsala University,,,Ludwig Maximilian University of Munich,1477-01-01T00:00:00Z
Markus Heilig,Lund University,,Sweden,Linköping University,1666-12-19T00:00:00Z
Kamrul Hasan,Lund University,,,University of Utah,1666-12-19T00:00:00Z
Laszlo B. Kish,Uppsala University,Hungary,Hungary,University of Birmingham,1477-01-01T00:00:00Z
Philip J Harrison,Uppsala University,,,University of Helsinki,1477-01-01T00:00:00Z
Gustav Cederlöf,Lund University,,,,1666-12-19T00:00:00Z
Margareta Halin Lejonklou,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Anna Runemark,Uppsala University,,,University of Oslo,1477-01-01T00:00:00Z
Biswarup Pathak,Uppsala University,,,Indian Institute of Technology Indore,1477-01-01T00:00:00Z
Laszlo B. Kish,Uppsala University,Hungary,Hungary,Uppsala University,1477-01-01T00:00:00Z
Bo Schenkman,Uppsala University,,,Royal Institute of Technology,1477-01-01T00:00:00Z
Rasigan Maharajh,Lund University,,,Stellenbosch University Faculty of Arts and Social Sciences,1666-12-19T00:00:00Z
Rasigan Maharajh,Lund University,,,Tshwane University of Technology Faculty of Economics and Finance,1666-12-19T00:00:00Z
Conny Såthe,Uppsala University,,,Lund University,1477-01-01T00:00:00Z
Hanna Skarin,Uppsala University,,,National Veterinary Institute,1477-01-01T00:00:00Z
Philip J Harrison,Uppsala University,,,Swedish University of Agricultural Sciences,1477-01-01T00:00:00Z
Jan Lipfert,Uppsala University,,,Delft University of Technology,1477-01-01T00:00:00Z
Aliasghar Ahmad Kiadaliri,Lund University,,,Lund University,1666-12-19T00:00:00Z
Sara von Arnold,Uppsala University,,Sweden,,1477-01-01T00:00:00Z
Jakob D Wikstrom,Uppsala University,,,Karolinska University Hospital,1477-01-01T00:00:00Z
Jonas Ranstam,Lund University,,Sweden,Lund University,1666-12-19T00:00:00Z
Nils-Olof Svensson,Lund University,,,Kristianstad University College,1666-12-19T00:00:00Z
Bo Schenkman,Uppsala University,,,Blekinge Institute of Technology,1477-01-01T00:00:00Z
Magnus Johansson,Uppsala University,,Sweden,Uppsala University,1477-01-01T00:00:00Z
Hannes Michaels,Uppsala University,,,,1477-01-01T00:00:00Z
Nils-Olof Svensson,Lund University,,,Lund University,1666-12-19T00:00:00Z
Vladimir Tolmachev,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
"Mikael Sigvardsson,Lund University,,,""University of California, San Francisco"",1666-12-19T00:00:00Z"
Daniel Uddenberg,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Anders Løøv,Uppsala University,,Sweden,Saemien Sijte,1477-01-01T00:00:00Z
Matthias Ketzel,Lund University,,,Aarhus University,1666-12-19T00:00:00Z
Mikael Borg,Lund University,,,University of Toronto,1666-12-19T00:00:00Z
Jorge Quillaguamán,Lund University,,,University of San Simón,1666-12-19T00:00:00Z
Helena Enroth,Uppsala University,,,,1477-01-01T00:00:00Z
Andreas T Sørensen,Lund University,,,University of Copenhagen,1666-12-19T00:00:00Z
Satish S. Bhat,Lund University,,,Karnatak University,1666-12-19T00:00:00Z
"Mattias Aine,Lund University,,,""Faculty of Medicine, Lund University"",1666-12-19T00:00:00Z"
Björn Södergård,Uppsala University,,,,1477-01-01T00:00:00Z
Johan Sundström,Uppsala University,,Sweden,Uppsala University Hospital,1477-01-01T00:00:00Z
Gustaf Wellhagen,Uppsala University,,,,1477-01-01T00:00:00Z
Anders Løøv,Uppsala University,,Sweden,NTNU University Library,1477-01-01T00:00:00Z
Xiaohu Guo,Uppsala University,,,,1477-01-01T00:00:00Z
Aodhán D Butler,Uppsala University,,,Stanford University,1477-01-01T00:00:00Z
Sudarsana Reddy Vanga,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Per Jemth,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Jan-Erik Rubensson,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
