personName,organisationName,placeName,countrName,organisationName,yearFounded
Neil Price,Uppsala University,London,Sweden,Uppsala University,1477-01-01T00:00:00Z
Marilyn Rayner,Lund University,,,Lund University,1666-12-19T00:00:00Z
Svante Holm,Lund University,,,,1666-12-19T00:00:00Z
Adam A. Strömstedt,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Helga Gunnlaugsdóttir,Lund University,,,Matís (Iceland),1666-12-19T00:00:00Z
Karin Pernebo,Linnaeus University,,,,2010-01-01T00:00:00Z
Claes von Hofsten,Uppsala University,,Sweden,Center for Advanced Study in the Behavioral Sciences,1477-01-01T00:00:00Z
Stefan Wagnsson,Karlstad University,,,Karlstad University,1977-01-01T00:00:00Z
Per L. Bylund,Lund University,,,Oklahoma State University–Stillwater,1666-12-19T00:00:00Z
Walan Grizolli,Lund University,,,Lund University,1666-12-19T00:00:00Z
Katarina Koruza,Lund University,,,Lund University,1666-12-19T00:00:00Z
Walan Grizolli,Lund University,,,Argonne National Laboratory,1666-12-19T00:00:00Z
Qiao-Yu Cui,Linnaeus University,,,Institute of Geographic Sciences and Natural Resources Research,2010-01-01T00:00:00Z
Lo Gorton,Lund University,,,Lund University,1666-12-19T00:00:00Z
André Mateus,Uppsala University,,,European Molecular Biology Laboratory,1477-01-01T00:00:00Z
Oskar Skog,Uppsala University,,Sweden,Uppsala University,1477-01-01T00:00:00Z
Madeleine Johansson,Lund University,,,Lund University,1666-12-19T00:00:00Z
Maria Sandberg,Karlstad University,,,,1977-01-01T00:00:00Z
Catharina Bjørkquist,Karlstad University,,,Østfold University College,1977-01-01T00:00:00Z
Anders Ohlsson,Linköping University,,,,1975-01-01T00:00:00Z
Nils Erik Hansegård,Uppsala University,Stockholm,Sweden,Uppsala University,1477-01-01T00:00:00Z
Mikael Bodelsson,Lund University,,,Skåne University Hospital,1666-12-19T00:00:00Z
Ka Lok Li,Uppsala University,,,,1477-01-01T00:00:00Z
Ferawati Ferawati,Lund University,,,,1666-12-19T00:00:00Z
Mohammad Kadivar,Lund University,,,Technical University of Denmark,1666-12-19T00:00:00Z
Karl Svennersten,Karolinska Institute,,Sweden,Karolinska Institute,1810-01-01T00:00:00Z
Juha Ojala,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Gabriele Partel,Uppsala University,,,,1477-01-01T00:00:00Z
Qimin Zhou,Lund University,,,Shanghai Ninth People's Hospital,1666-12-19T00:00:00Z
Mohammad Kadivar,Lund University,,,Lund University,1666-12-19T00:00:00Z
Freyr G Sigmundsson,Lund University,,,Skåne Regional Council,1666-12-19T00:00:00Z
Md Kamal Hossain,Lund University,,,Jahangirnagar University,1666-12-19T00:00:00Z
Bengt Svensson,Lund University,,,Malmö University,1666-12-19T00:00:00Z
Nina Shulumba,Linköping University,,,California Institute of Technology,1975-01-01T00:00:00Z
Kristian Pietras,Uppsala University,,,Karolinska Institute,1477-01-01T00:00:00Z
Jun Panee,Lund University,,,University of Hawaii,1666-12-19T00:00:00Z
Marcus Fager Ferrari,Lund University,,,Lund University,1666-12-19T00:00:00Z
Albertine Ranheim,Linköping University,,,Mälardalen University College,1975-01-01T00:00:00Z
Prabhat Upadhyaya,Linköping University,,,,1975-01-01T00:00:00Z
Freyr G Sigmundsson,Lund University,,,Örebro County Council,1666-12-19T00:00:00Z
Bengt Nellgård,Lund University,,,University of Gothenburg,1666-12-19T00:00:00Z
Marcus Fager Ferrari,Lund University,,,Skåne University Hospital,1666-12-19T00:00:00Z
Chi-Nan Tseng,Karolinska Institute,,,Linkou Chang Gung Memorial Hospital,1810-01-01T00:00:00Z
Benita Sjögren,Karolinska Institute,,,Purdue University,1810-01-01T00:00:00Z
Örjan Skogar,Karolinska Institute,,,Ryhov County Hospital,1810-01-01T00:00:00Z
Maria Norstedt,Lund University,,,Malmö University,1666-12-19T00:00:00Z
Freyr G Sigmundsson,Lund University,,,Blekinge County Council,1666-12-19T00:00:00Z
Margareta Johansson,Lund University,,,,1666-12-19T00:00:00Z
Maria Norstedt,Lund University,,,Lund University,1666-12-19T00:00:00Z
Anna Eva Hallin,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Alvaro L. Morales,Lund University,,,,1666-12-19T00:00:00Z
Karl Svennersten,Karolinska Institute,,Sweden,Karolinska University Hospital,1810-01-01T00:00:00Z
Mattias Brofelth,Lund University,,,Lund University,1666-12-19T00:00:00Z
Md Kamal Hossain,Lund University,,,Uppsala University,1666-12-19T00:00:00Z
Emmanouil Charitakis,Linköping University,,,Östergötland County Council,1975-01-01T00:00:00Z
Kataneh Aalaei,Lund University,,,University of Copenhagen,1666-12-19T00:00:00Z
Ingrid Ajaxon,Uppsala University,,,,1477-01-01T00:00:00Z
Huailiang Xu,Lund University,,,University of Tokyo,1666-12-19T00:00:00Z
Erik Haraldsson,Linköping University,,,Skaraborg Hospital,1975-01-01T00:00:00Z
Kristian Pietras,Uppsala University,,,Lund University,1477-01-01T00:00:00Z
Xin Fang,Karolinska Institute,,,,1810-01-01T00:00:00Z
Ping Huang,Lund University,,,Uppsala University,1666-12-19T00:00:00Z
Karl Svennersten,Karolinska Institute,,Sweden,Stockholm Health Care Services,1810-01-01T00:00:00Z
Björn Weibo,Uppsala University,,Sweden,Civil Aviation Administration,1477-01-01T00:00:00Z
Alireza Honarfar,Lund University,,,Lund University,1666-12-19T00:00:00Z
Björn Weibo,Uppsala University,,Sweden,Ministry of Employment,1477-01-01T00:00:00Z
Björn Weibo,Uppsala University,,Sweden,Ministry of Justice,1477-01-01T00:00:00Z
Gayani Alwis,Lund University,,,University of Ruhuna,1666-12-19T00:00:00Z
Jerome Kabakyenga,Lund University,,,Mbarara University of Science and Technology Faculty of Science,1666-12-19T00:00:00Z
Delilah F G Hendriks,Karolinska Institute,,,Hubrecht Institute,1810-01-01T00:00:00Z
Arieh Sierra Cohen,Lund University,,,Statens Serum Institut,1666-12-19T00:00:00Z
Robin D Johnsson,Lund University,,,,1666-12-19T00:00:00Z
Kristian Pietras,Uppsala University,,,Ludwig Institute for Cancer Research,1477-01-01T00:00:00Z
Roger E Rönn,Lund University,,,,1666-12-19T00:00:00Z
Emily Grenner,Lund University,,,,1666-12-19T00:00:00Z
Ping Wang,Lund University,,,,1666-12-19T00:00:00Z
Maria Francisca Archila Bustos,Lund University,,,Lund University,1666-12-19T00:00:00Z
Björn Weibo,Uppsala University,,Sweden,Ministry of Interior,1477-01-01T00:00:00Z
Cecilia Mattisson,Lund University,,,,1666-12-19T00:00:00Z
Björn Weibo,Uppsala University,,Sweden,Swedish Prison and Probation Service,1477-01-01T00:00:00Z
Ina Möller,Lund University,,,Lund University Medical Faculty Foundation,1666-12-19T00:00:00Z
Chi-Nan Tseng,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Karin Pukk-Härenstam,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Benita Sjögren,Karolinska Institute,,,Michigan State University,1810-01-01T00:00:00Z
Love Tätting,Linköping University,,,Linköping University Hospital,1975-01-01T00:00:00Z
Björn Weibo,Uppsala University,,Sweden,Swedish Migration Board,1477-01-01T00:00:00Z
Wei-Qun Ding,Lund University,,,,1666-12-19T00:00:00Z
Nailin Li,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Martin Rutegård,Karolinska Institute,,,Umeå University,1810-01-01T00:00:00Z
Emmanouil Charitakis,Linköping University,,,Hellenic Air Force,1975-01-01T00:00:00Z
Huailiang Xu,Lund University,,,Université Laval,1666-12-19T00:00:00Z
David Erlinge,Lund University,,,Lund University,1666-12-19T00:00:00Z
Anna C Nilsson,Lund University,,,,1666-12-19T00:00:00Z
Sandra Kleinau,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Annica Bresky,Uppsala University,,Sweden,Stora Enso,1477-01-01T00:00:00Z
Johanna Fall,Lund University,,,,1666-12-19T00:00:00Z
Per Nilsson,Lund University,,,Lund University,1666-12-19T00:00:00Z
Abdalla Abdelwahab,Lund University,,,Beni-Suef University,1666-12-19T00:00:00Z
Pernilla Liedgren,Lund University,,,,1666-12-19T00:00:00Z
Hampus Du Rietz,Lund University,,,Lund University,1666-12-19T00:00:00Z
Elias Odelstad,Uppsala University,,Sweden,Royal Institute of Technology,1477-01-01T00:00:00Z
Per Nilsson,Lund University,,,Skåne University Hospital,1666-12-19T00:00:00Z
Ina Möller,Lund University,,,Wageningen University & Research,1666-12-19T00:00:00Z
Kjell Bergfeldt,Karolinska Institute,,,,1810-01-01T00:00:00Z
Matilda Martinsson,Lund University,,,Lund University,1666-12-19T00:00:00Z
Herje Schagerlöf,Lund University,,,,1666-12-19T00:00:00Z
Mattias Arvidsson,Lund University,,,,1666-12-19T00:00:00Z
Nils Erik Hansegård,Uppsala University,Stockholm,Sweden,Umeå University,1477-01-01T00:00:00Z
Mathilde Sengoelge,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Magnus Borgh,Lund University,,,University of East Anglia,1666-12-19T00:00:00Z
Carla Calderon Toledo,Lund University,,,Pontifical Catholic University of Chile,1666-12-19T00:00:00Z
Louise Berg,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Carla Calderon Toledo,Lund University,,,Higher University of San Andrés,1666-12-19T00:00:00Z
Hanna Sabelström,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Magnus Borgh,Lund University,,,University of Southampton,1666-12-19T00:00:00Z
Nicklas Anttu,Lund University,,,Aalto University,1666-12-19T00:00:00Z
Linnea V Ladfors,Lund University,,,Karolinska Institute,1666-12-19T00:00:00Z
Francesco Aquilante,Lund University,,,University of Geneva,1666-12-19T00:00:00Z
Dara K Mohammad,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Elias Odelstad,Uppsala University,,Sweden,Swedish Institute of Space Physics,1477-01-01T00:00:00Z
Karin Pukk-Härenstam,Karolinska Institute,,,Karolinska University Hospital,1810-01-01T00:00:00Z
Yang Xuan,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Rohit Kumar,Lund University,,,,1666-12-19T00:00:00Z
Emmanouil Charitakis,Linköping University,,,University Hospital of Heraklion,1975-01-01T00:00:00Z
Magnus Borgh,Lund University,,,University of Cambridge,1666-12-19T00:00:00Z
Volha Lazuka,Lund University,,,University of Southern Denmark,1666-12-19T00:00:00Z
Felipe Ascencio,Lund University,,,,1666-12-19T00:00:00Z
Joachim Gudmundsson,Lund University,,,University of Sydney,1666-12-19T00:00:00Z
Susanna L Lundström,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Muhammad Mushtaq,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Keivan Javanshiri,Lund University,,,Lund University,1666-12-19T00:00:00Z
Jens Dietrichson,Lund University,,,Lund University,1666-12-19T00:00:00Z
Dara K Mohammad,Karolinska Institute,,,Salahaddin University,1810-01-01T00:00:00Z
"Kristina Klintö,Karolinska Institute,,,""Skånes universitetssjukhus, Malmö"",1810-01-01T00:00:00Z"
David Harnesk,Lund University,,,,1666-12-19T00:00:00Z
Nailin Li,Karolinska Institute,,,Southern Medical University,1810-01-01T00:00:00Z
Nicklas Anttu,Lund University,,,Lund University,1666-12-19T00:00:00Z
Niklas Korsbo,Lund University,,,University of Cambridge,1666-12-19T00:00:00Z
Niklas Korsbo,Lund University,,,Lund University,1666-12-19T00:00:00Z
"Hanna Sabelström,Karolinska Institute,,,""University of California, San Francisco"",1810-01-01T00:00:00Z"
Elias Odelstad,Uppsala University,,Sweden,Uppsala University,1477-01-01T00:00:00Z
"Kristian Pietras,Uppsala University,,,""University of California, San Francisco School of Medicine"",1477-01-01T00:00:00Z"
Huan Shu,Karlstad University,,,Stockholm University,1977-01-01T00:00:00Z
Adrian T Gonon,Karolinska Institute,,,,1810-01-01T00:00:00Z
Lukáš Čajánek,Karolinska Institute,,,Masaryk University,1810-01-01T00:00:00Z
Boel Bengtsson,Lund University,,,Lund University,1666-12-19T00:00:00Z
Jens Dietrichson,Lund University,,,Danish National Centre for Social Research,1666-12-19T00:00:00Z
Mikael Bodelsson,Lund University,,,Lund University,1666-12-19T00:00:00Z
Huailiang Xu,Lund University,,,Jilin University,1666-12-19T00:00:00Z
Jannike Nickander,Karolinska Institute,,,Karolinska University Hospital,1810-01-01T00:00:00Z
Daniel C. Andersson,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Jonas Strömberg,Karolinska Institute,,,,1810-01-01T00:00:00Z
Anne Söderlund Schaller,Linköping University,,,Östergötland County Council,1975-01-01T00:00:00Z
Ylva Gustafsson,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Lynn Atuyambe,Karolinska Institute,,,Makerere University,1810-01-01T00:00:00Z
Paulo V C Medeiros,Linköping University,,,University of Cambridge,1975-01-01T00:00:00Z
Åsa V Keita,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Tobias Benselfelt,Linköping University,,,Royal Institute of Technology,1975-01-01T00:00:00Z
Sofie Ährlund-Richter,Karolinska Institute,,Sweden,University of Edinburgh,1810-01-01T00:00:00Z
Bo Karlsson,Karolinska Institute,,,Uppsala University,1810-01-01T00:00:00Z
Karl-Eric Magnusson,Linköping University,,Sweden,Linköping University,1975-01-01T00:00:00Z
Alexander Lindmaa,Linköping University,,,Hebrew University of Jerusalem,1975-01-01T00:00:00Z
Ingrid M Claesson,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Ali Mirazimi,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Berkeh Nasri,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Mats Hammar,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
"Alan Shaw,Karolinska Institute,,,""University of California, Berkeley"",1810-01-01T00:00:00Z"
David Bergenholm,Linköping University,,,,1975-01-01T00:00:00Z
Inga-Lill Boman,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Paulo V C Medeiros,Linköping University,,,Swedish Meteorological and Hydrological Institute,1975-01-01T00:00:00Z
Danny van Noort,Linköping University,,,Eötvös Loránd University,1975-01-01T00:00:00Z
Maidul I. Choudhury,Linköping University,,,,1975-01-01T00:00:00Z
Olle Söder,Karolinska Institute,,,,1810-01-01T00:00:00Z
Danny van Noort,Linköping University,,,Ewha Womans University,1975-01-01T00:00:00Z
Danny van Noort,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Jianwei Zhu,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Madeleine Asklöf,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Qingzhen Bian,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Danny van Noort,Linköping University,,,Seoul National University,1975-01-01T00:00:00Z
Daniel C. Andersson,Karolinska Institute,,,Karolinska University Hospital,1810-01-01T00:00:00Z
Stylianos Papaioannou,Karolinska Institute,,,Umeå University,1810-01-01T00:00:00Z
Danny van Noort,Linköping University,,,Griffith University,1975-01-01T00:00:00Z
Anders Eklund,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Sofie Ährlund-Richter,Karolinska Institute,,Sweden,Princeton University,1810-01-01T00:00:00Z
Danny van Noort,Linköping University,,,Schloss Birlinghoven,1975-01-01T00:00:00Z
Rolf H Zetterström,Karolinska Institute,,,Karolinska University Hospital,1810-01-01T00:00:00Z
Elzana Odzakovic,Linköping University,,,,1975-01-01T00:00:00Z
Martina Frodlund,Linköping University,,,,1975-01-01T00:00:00Z
Imre Mäger,Linköping University,,,University of Oxford,1975-01-01T00:00:00Z
Kristina Tedroff,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Anthony S Gunnell,Karolinska Institute,,,University of Western Australia,1810-01-01T00:00:00Z
Danny van Noort,Linköping University,,,Daegu Gyeongbuk Institute of Science and Technology,1975-01-01T00:00:00Z
Karin Pernebo,Linköping University,,,,1975-01-01T00:00:00Z
Cecilia Götherström,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Mayli Mertens,Linköping University,,,Yale University,1975-01-01T00:00:00Z
Anna Vadeby,Linköping University,,,Swedish National Road and Transport Research Institute,1975-01-01T00:00:00Z
Parastou Farahnak,Karolinska Institute,,,Södersjukhuset,1810-01-01T00:00:00Z
Imre Mäger,Linköping University,,,University of Tartu,1975-01-01T00:00:00Z
Johanna Björkmalm,Linköping University,,,Research Institutes of Sweden,1975-01-01T00:00:00Z
Huotian Zhang,Linköping University,,,,1975-01-01T00:00:00Z
Aylin Atakan,Linköping University,,,,1975-01-01T00:00:00Z
Camilla Malm,Karolinska Institute,,,Södersjukhuset,1810-01-01T00:00:00Z
Markus Karlsson,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Johanna Thegerström,Karolinska Institute,,,Länssjukhuset i Kalmar,1810-01-01T00:00:00Z
Guo-Xin Jiang,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Tara Wahab,Karolinska Institute,,,,1810-01-01T00:00:00Z
Martina Nord,Karolinska Institute,,,,1810-01-01T00:00:00Z
Joar Sundman,Karolinska Institute,,,Karolinska University Hospital,1810-01-01T00:00:00Z
Li-Ju Hsu,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Carl Savage,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Stefan Momma,Karolinska Institute,,,Klinikum der Johann Wolfgang Goethe-Universität Frankfurt,1810-01-01T00:00:00Z
Kristina Tedroff,Karolinska Institute,,,Karolinska University Hospital,1810-01-01T00:00:00Z
Danny van Noort,Linköping University,,,Zaman University,1975-01-01T00:00:00Z
Jenny Grönwall,Linköping University,,,Stockholm International Water Institute,1975-01-01T00:00:00Z
Cecilia Götherström,Karolinska Institute,,,Karolinska University Hospital,1810-01-01T00:00:00Z
Robert Thornberg,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Danny van Noort,Linköping University,,,Princeton University,1975-01-01T00:00:00Z
Mayli Mertens,Linköping University,,,University of Twente,1975-01-01T00:00:00Z
Stefano Leone,Linköping University,,,Fraunhofer Institute for Applied Solid State Physics,1975-01-01T00:00:00Z
Stefano Leone,Linköping University,,,Aixtron SE,1975-01-01T00:00:00Z
Sofie Ährlund-Richter,Karolinska Institute,,Sweden,Karolinska Institute,1810-01-01T00:00:00Z
Ali Mirazimi,Karolinska Institute,,,Public Health Agency of Sweden,1810-01-01T00:00:00Z
Ganna Oliynyk,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Bo E. Sernelius,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Vinod Diwan,Karolinska Institute,,,,1810-01-01T00:00:00Z
Lorenzo Cangiano,Karolinska Institute,,,University of Pisa,1810-01-01T00:00:00Z
Marcus Bendtsen,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Göran Gustafsson,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Olof Akre,Karolinska Institute,,,Karolinska University Hospital,1810-01-01T00:00:00Z
Hans Wessel,Karolinska Institute,,,,1810-01-01T00:00:00Z
Hannah Snyder,Linköping University,,,University of Queensland,1975-01-01T00:00:00Z
Julian Walfridsson,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Hannah Snyder,Linköping University,,,BI Norwegian Business School,1975-01-01T00:00:00Z
Hannah Snyder,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Fredrik Söderlind,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Kerstin Ekbom,Karolinska Institute,,,,1810-01-01T00:00:00Z
Ali Mirazimi,Karolinska Institute,,,National Veterinary Institute,1810-01-01T00:00:00Z
Sean M. Gibbons,Uppsala University,,,Massachusetts Institute of Technology,1477-01-01T00:00:00Z
Magnus Palmblad,Uppsala University,,,Leiden University Medical Center,1477-01-01T00:00:00Z
Jonny Geber,Uppsala University,,,University of Otago,1477-01-01T00:00:00Z
Håkan Rydin,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Aiko Nakano-Hylander,Uppsala University,,,McGill University,1477-01-01T00:00:00Z
Aiko Nakano-Hylander,Uppsala University,,,Lund University,1477-01-01T00:00:00Z
Peter Garpenby,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Carl Nettelblad,Uppsala University,,Sweden,Uppsala University,1477-01-01T00:00:00Z
Sean M. Gibbons,Uppsala University,,,National Autonomous University of Mexico,1477-01-01T00:00:00Z
Rachel A. Hickman,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Aiko Nakano-Hylander,Uppsala University,,,Swedish University of Agricultural Sciences,1477-01-01T00:00:00Z
Björn Granseth,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Pervez Ghauri,Uppsala University,,,University of Manchester,1477-01-01T00:00:00Z
Christian K Owusu,Uppsala University,,,Kumasi Centre for Collaborative Research in Tropical Medicine,1477-01-01T00:00:00Z
Martin Sandelin,Uppsala University,,,Uppsala University Hospital,1477-01-01T00:00:00Z
Einar Heiberg,Linköping University,,Sweden,Lund University,1975-01-01T00:00:00Z
Magnus Palmblad,Uppsala University,,,University of Reading,1477-01-01T00:00:00Z
Anna Wallerstedt,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Yang Du,Linköping University,,,Leibniz Institute for Farm Animal Biology,1975-01-01T00:00:00Z
Pervez Ghauri,Uppsala University,,,University of Birmingham,1477-01-01T00:00:00Z
Akos Vegvari,Uppsala University,,,Karolinska Institute,1477-01-01T00:00:00Z
Pervez Ghauri,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Karin Kallander,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Silke Langenheder,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Johan Sundström,Karolinska Institute,,Sweden,Uppsala University Hospital,1810-01-01T00:00:00Z
Olga Vinnere Pettersson,Uppsala University,,,Swedish University of Agricultural Sciences,1477-01-01T00:00:00Z
Bharti Kataria,Linköping University,,,,1975-01-01T00:00:00Z
Aiko Nakano-Hylander,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Lucimara Stolz Roman,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Olle Kämpe,Uppsala University,,Sweden,Karolinska Institute,1477-01-01T00:00:00Z
Martin Gustavsson,Linköping University,,,University of Minnesota,1975-01-01T00:00:00Z
Carl Samuel Andreas Fries,Uppsala University,Rejmyre,Sweden,Open-air museum Skansen,1477-01-01T00:00:00Z
Patrick K. Albers,Uppsala University,,,University of Oxford,1477-01-01T00:00:00Z
Örjan Danielsson,Linköping University,,,,1975-01-01T00:00:00Z
Akos Vegvari,Uppsala University,,,Lund University,1477-01-01T00:00:00Z
"Martin Gustavsson,Linköping University,,,""University of California, San Diego"",1975-01-01T00:00:00Z"
Chithra K. Piyadasa,Uppsala University,,,University of Manitoba,1477-01-01T00:00:00Z
Carl Samuel Andreas Fries,Uppsala University,Rejmyre,Sweden,Swedish Tourist Association Yearbook,1477-01-01T00:00:00Z
Gunnar Norstedt,Karolinska Institute,,,Karolinska Institute,1810-01-01T00:00:00Z
Anna Wallerstedt,Karolinska Institute,,,Karolinska University Hospital,1810-01-01T00:00:00Z
Julien Ochala,Uppsala University,,,King's College London,1477-01-01T00:00:00Z
Nisha Rana,Uppsala University,,,,1477-01-01T00:00:00Z
Christian Moberg,Uppsala University,,,Uppsala University Hospital,1477-01-01T00:00:00Z
Elisabeth Dahlqwist,Uppsala University,,,Karolinska Institute,1477-01-01T00:00:00Z
Olga Vinnere Pettersson,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Åsa Danielsson,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Johan Sundström,Karolinska Institute,,Sweden,Uppsala University,1810-01-01T00:00:00Z
Anne Fältström,Linköping University,,,Ryhov County Hospital,1975-01-01T00:00:00Z
Björn Wikehult,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
"Andreas Hellander,Uppsala University,,,""University of California, Santa Barbara"",1477-01-01T00:00:00Z"
Fredrik Pontén,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Marie Klingberg-Allvin,Karolinska Institute,,Sweden,Karolinska Institute,1810-01-01T00:00:00Z
Olle Kämpe,Uppsala University,,Sweden,Karolinska University Hospital,1477-01-01T00:00:00Z
Karin Kallander,Karolinska Institute,,,Malaria Consortium,1810-01-01T00:00:00Z
Lucimara Stolz Roman,Linköping University,,,UFPR - Universidade Federal do Parana - Campus III - Centro Politecnico,1975-01-01T00:00:00Z
Elisabeth Dahlqwist,Uppsala University,,,Statistics Sweden,1477-01-01T00:00:00Z
Elizabeth Kebede Westhead,Uppsala University,,,Agricultural Research Service,1477-01-01T00:00:00Z
Hans Forssberg,Karolinska Institute,,Sweden,Karolinska Institute,1810-01-01T00:00:00Z
Gholamreza R. Yazdi,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Yang Du,Linköping University,,,Annoroad Gene Technology (China),1975-01-01T00:00:00Z
Rachel A. Hickman,Uppsala University,,,Technical University of Denmark,1477-01-01T00:00:00Z
Agne Larsson,Linköping University,,,Karolinska Institute,1975-01-01T00:00:00Z
Marie Klingberg-Allvin,Karolinska Institute,,Sweden,Dalarna University,1810-01-01T00:00:00Z
Wojciech Senkowski,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Pervez Ghauri,Uppsala University,,,University of Groningen,1477-01-01T00:00:00Z
Elizabeth Kebede Westhead,Uppsala University,,,University of East London Stratford Campus,1477-01-01T00:00:00Z
Henrik Nilsson,Linköping University,,,University of Nottingham,1975-01-01T00:00:00Z
Andreas Hellander,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Aiko Nakano-Hylander,Uppsala University,,,Swedish Radiation Safety Authority,1477-01-01T00:00:00Z
Joel Hellrup,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Jonny Geber,Uppsala University,,,University College Cork,1477-01-01T00:00:00Z
Pervez Ghauri,Uppsala University,,,BI Norwegian Business School,1477-01-01T00:00:00Z
Elisabeth Dahlqwist,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Aiko Nakano-Hylander,Uppsala University,,,Nagoya University,1477-01-01T00:00:00Z
Hans Forssberg,Karolinska Institute,,Sweden,Karolinska University Hospital,1810-01-01T00:00:00Z
Mattias Jansson,Linköping University,,,Linköping University,1975-01-01T00:00:00Z
Andrea Benediktsdottir,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Pervez Ghauri,Uppsala University,,,King's College London,1477-01-01T00:00:00Z
Rachel A. Hickman,Uppsala University,,,Copenhagen University Hospital,1477-01-01T00:00:00Z
Kristina Edström,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Rachel A. Hickman,Uppsala University,,,Uppsala University Faculty of Medicine,1477-01-01T00:00:00Z
Anna Hafström,Lund University,,,Lund University,1666-12-19T00:00:00Z
Johan Ottosson,Lund University,,,Örebro University Hospital,1666-12-19T00:00:00Z
Farshid Jalalvand,Lund University,,,University of Copenhagen,1666-12-19T00:00:00Z
Yasir Ruhayel,Lund University,,,,1666-12-19T00:00:00Z
Andrzej Zielinski,Lund University,,,,1666-12-19T00:00:00Z
Helena Röcklinsberg,Uppsala University,,,Lund University,1477-01-01T00:00:00Z
Louise Cornmark,Lund University,,,Lund University,1666-12-19T00:00:00Z
Rikard Frederiksen,Lund University,,,UCLA Jules Stein Eye Institute,1666-12-19T00:00:00Z
Stina Ramne,Lund University,,,Lund University,1666-12-19T00:00:00Z
Helena Röcklinsberg,Uppsala University,,,Swedish University of Agricultural Sciences,1477-01-01T00:00:00Z
Muhammad Arfan,Lund University,,,Lund University,1666-12-19T00:00:00Z
